region_id	region_type	published_label	chromosome_label	reference_contig	reference_length_bp	start_raw	end_raw	published_size_bp	coordinate_note	annotated_component	component_percent	source_sheet	source_row	coordinate_cells	component_cell	source_url	source_sha256	warning
Mo17_S6_R14	satellite_region	TR-1	chr8	CM039157.1	208583295	117764188	117795413	31225	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	46.49	6	14	C14:E14	F14	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R15	satellite_region	TR-1	chr8	CM039157.1	208583295	164110829	164181820	70991	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	32.82	6	15	C15:E15	F15	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R16	satellite_region	TR-1	chr8	CM039157.1	208583295	164352426	164408879	56453	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	31.79	6	16	C16:E16	F16	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R17	satellite_region	TR-1	chr8	CM039157.1	208583295	164581002	164639691	58689	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	30.26	6	17	C17:E17	F17	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R18	satellite_region	TR-1	chr8	CM039157.1	208583295	187347965	187417702	69737	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	17.89	6	18	C18:E18	F18	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R19	satellite_region	TR-1	chr9	CM039158.1	168156889	453120	512951	59831	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	38.87	6	19	C19:E19	F19	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R20	satellite_region	TR-1	chr9	CM039158.1	168156889	699926	784660	84734	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	16.29	6	20	C20:E20	F20	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R4	satellite_region	knob180	chr1	CM039150.1	307335809	9009845	9034500	24655	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	70.19	7	4	C4:E4	F4	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R5	satellite_region	knob180	chr1	CM039150.1	307335809	272423826	272588522	164696	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	32.5	7	5	C5:E5	F5	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R6	satellite_region	knob180	chr1	CM039150.1	307335809	295502710	295569693	66983	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	22.62	7	6	C6:E6	F6	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R7	satellite_region	knob180	chr2	CM039151.1	247431027	88594814	88682243	87429	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	20.04	7	7	C7:E7	F7	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R8	satellite_region	knob180	chr3	CM039152.1	242843974	789592	989430	199838	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	47.26	7	8	C8:E8	F8	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R9	satellite_region	knob180	chr3	CM039152.1	242843974	221024507	221037665	13158	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	98.7	7	9	C9:E9	F9	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R10	satellite_region	knob180	chr4	CM039153.1	251128394	89112	181561	92449	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	27.79	7	10	C10:E10	F10	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R11	satellite_region	knob180	chr4	CM039153.1	251128394	244949	335364	90415	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	24.72	7	11	C11:E11	F11	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R12	satellite_region	knob180	chr4	CM039153.1	251128394	175312192	175633065	320873	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	23.79	7	12	C12:E12	F12	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R13	satellite_region	knob180	chr4	CM039153.1	251128394	186774573	187127994	353421	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	42.26	7	13	C13:E13	F13	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R14	satellite_region	knob180	chr4	CM039153.1	251128394	201702717	201763112	60395	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	47.21	7	14	C14:E14	F14	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R15	satellite_region	knob180	chr5	CM039154.1	220303002	17120160	17155024	34864	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	57.29	7	15	C15:E15	F15	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R16	satellite_region	knob180	chr5	CM039154.1	220303002	48249564	48496433	246869	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	20.01	7	16	C16:E16	F16	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R17	satellite_region	knob180	chr5	CM039154.1	220303002	165992573	166051434	58861	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	46.84	7	17	C17:E17	F17	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R18	satellite_region	knob180	chr6	CM039155.1	201729004	4643854	6188370	1544516	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	71.39	7	18	C18:E18	F18	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R19	satellite_region	knob180	chr6	CM039155.1	201729004	16405497	16484564	79067	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	25.99	7	19	C19:E19	F19	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R20	satellite_region	knob180	chr6	CM039155.1	201729004	16674859	17309404	634545	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	21.66	7	20	C20:E20	F20	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R21	satellite_region	knob180	chr6	CM039155.1	201729004	112883071	112978928	95857	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	21.71	7	21	C21:E21	F21	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R22	satellite_region	knob180	chr6	CM039155.1	201729004	201026719	201698697	671978	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	24.46	7	22	C22:E22	F22	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R23	satellite_region	knob180	chr7	CM039156.1	181266306	167803110	167877926	74816	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	25.13	7	23	C23:E23	F23	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R24	satellite_region	knob180	chr8	CM039157.1	208583295	60026	252217	192191	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	70.15	7	24	C24:E24	F24	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R25	satellite_region	knob180	chr8	CM039157.1	208583295	164058486	187631224	23572738	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	86.03	7	25	C25:E25	F25	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R26	satellite_region	knob180	chr9	CM039158.1	168156889	26816	929901	903085	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	65.13	7	26	C26:E26	F26	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R27	satellite_region	knob180	chr9	CM039158.1	168156889	127317423	127346444	29021	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	51.73	7	27	C27:E27	F27	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S7_R28	satellite_region	knob180	chr9	CM039158.1	168156889	168047933	168091184	43251	end_minus_start_consistent_origin_inferred_0_based_not_explicit	knob180	45.04	7	28	C28:E28	F28	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R4	satellite_region	CentC	chr1	CM039150.1	307335809	134319093	134661240	342147	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	29.01	8	4	C4:E4	F4	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R5	satellite_region	CentC	chr1	CM039150.1	307335809	137206570	138838178	1631608	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	52.57	8	5	C5:E5	F5	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R6	satellite_region	CentC	chr2	CM039151.1	247431027	98404175	98715303	311128	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	64.18	8	6	C6:E6	F6	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R7	satellite_region	CentC	chr2	CM039151.1	247431027	98993717	99023934	30217	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	99.97	8	7	C7:E7	F7	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R8	satellite_region	CentC	chr3	CM039152.1	242843974	85502654	85618790	116136	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	30.39	8	8	C8:E8	F8	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R9	satellite_region	CentC	chr3	CM039152.1	242843974	87928322	88561024	632702	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	42.35	8	9	C9:E9	F9	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R10	satellite_region	CentC	chr4	CM039153.1	251128394	111162797	111467581	304784	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	43.68	8	10	C10:E10	F10	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R11	satellite_region	CentC	chr5	CM039154.1	220303002	107185929	107395001	209072	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	43.01	8	11	C11:E11	F11	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R12	satellite_region	CentC	chr6	CM039155.1	201729004	78658297	78971056	312759	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	46.88	8	12	C12:E12	F12	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R13	satellite_region	CentC	chr7	CM039156.1	181266306	54502840	57595941	3093101	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	60.45	8	13	C13:E13	F13	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R14	satellite_region	CentC	chr7	CM039156.1	181266306	59366233	59635302	269069	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	72.25	8	14	C14:E14	F14	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R15	satellite_region	CentC	chr8	CM039157.1	208583295	52359591	54706042	2346451	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	64.14	8	15	C15:E15	F15	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S8_R16	satellite_region	CentC	chr9	CM039158.1	168156889	59679758	59882030	202272	end_minus_start_consistent_origin_inferred_0_based_not_explicit	CentC	58.6	8	16	C16:E16	F16	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
