anchor_id	locus_id	family_id	chromosome	start	end	side	offset	sequence_length	eligible	qualifying_hits	uniqueness	reason
L0002_right_10000	L0002	TXF000002	Chr1	12337613	12339613	right	10000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0003_left_0	L0003	TXF000002	Chr2	-1830	170	left	0	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0003_left_2000	L0003	TXF000002	Chr2	-3830	-1830	left	2000	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0003_left_5000	L0003	TXF000002	Chr2	-6830	-4830	left	5000	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0003_left_10000	L0003	TXF000002	Chr2	-11830	-9830	left	10000	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0003_right_0	L0003	TXF000002	Chr2	849	2849	right	0	2000	False	4	nonunique	competing_old_assembly_hits
L0003_right_2000	L0003	TXF000002	Chr2	2849	4849	right	2000	2000	False	4	nonunique	competing_old_assembly_hits
L0003_right_5000	L0003	TXF000002	Chr2	5849	7849	right	5000	2000	False	4	nonunique	competing_old_assembly_hits
L0003_right_10000	L0003	TXF000002	Chr2	10849	12849	right	10000	2000	False	3	nonunique	competing_old_assembly_hits
L0004_left_0	L0004	TXF000002	Chr2	9777	11777	left	0	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0004_left_2000	L0004	TXF000002	Chr2	7777	9777	left	2000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0004_left_5000	L0004	TXF000002	Chr2	4777	6777	left	5000	2000	False	3	nonunique	competing_old_assembly_hits
L0004_left_10000	L0004	TXF000002	Chr2	-223	1777	left	10000	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0004_right_0	L0004	TXF000002	Chr2	12456	14456	right	0	2000	False	4	nonunique	competing_old_assembly_hits
L0004_right_2000	L0004	TXF000002	Chr2	14456	16456	right	2000	2000	False	4	nonunique	competing_old_assembly_hits
L0004_right_5000	L0004	TXF000002	Chr2	17456	19456	right	5000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0004_right_10000	L0004	TXF000002	Chr2	22456	24456	right	10000	2000	False	10	nonunique	competing_old_assembly_hits
L0005_left_0	L0005	TXF000002	Chr4	-927	1073	left	0	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0005_left_2000	L0005	TXF000002	Chr4	-2927	-927	left	2000	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0005_left_5000	L0005	TXF000002	Chr4	-5927	-3927	left	5000	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0005_left_10000	L0005	TXF000002	Chr4	-10927	-8927	left	10000	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0005_right_0	L0005	TXF000002	Chr4	1756	3756	right	0	2000	False	4	nonunique	competing_old_assembly_hits
L0005_right_2000	L0005	TXF000002	Chr4	3756	5756	right	2000	2000	False	4	nonunique	competing_old_assembly_hits
L0005_right_5000	L0005	TXF000002	Chr4	6756	8756	right	5000	2000	False	4	nonunique	competing_old_assembly_hits
L0005_right_10000	L0005	TXF000002	Chr4	11756	13756	right	10000	2000	False	4	nonunique	competing_old_assembly_hits
L0006_left_0	L0006	TXF000002	Chr4	8625	10625	left	0	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0006_left_2000	L0006	TXF000002	Chr4	6625	8625	left	2000	2000	False	4	nonunique	competing_old_assembly_hits
L0006_left_5000	L0006	TXF000002	Chr4	3625	5625	left	5000	2000	False	4	nonunique	competing_old_assembly_hits
L0006_left_10000	L0006	TXF000002	Chr4	-1375	625	left	10000	0	False	0	unresolved	incomplete_or_out_of_contig_flank
L0006_right_0	L0006	TXF000002	Chr4	11308	13308	right	0	2000	False	4	nonunique	competing_old_assembly_hits
L0006_right_2000	L0006	TXF000002	Chr4	13308	15308	right	2000	2000	False	4	nonunique	competing_old_assembly_hits
L0006_right_5000	L0006	TXF000002	Chr4	16308	18308	right	5000	2000	False	4	nonunique	competing_old_assembly_hits
L0006_right_10000	L0006	TXF000002	Chr4	21308	23308	right	10000	2000	False	7	nonunique	competing_old_assembly_hits
