read_id	length_bp	gc_bin_5pct	max_purine_pyrimidine_bin_5pct	any_alignment_span_bp	primary_span_bp	primary_mapq20_span_bp	primary_organelle_span_bp	primary_other_reference_span_bp	primary_rows	secondary_rows	organelle_primary_rows	primary_compartment_overlap_bp
ERR6210723.104370	14443	6	10	14443	14443	14443	0	14443	1	0	0	0
ERR6210723.104401	17304	7	10	17298	17298	17298	0	17298	1	0	0	0
ERR6210723.104451	14579	8	10	14579	14579	14579	0	14579	1	0	0	0
ERR6210723.104467	16931	6	10	16931	16931	16931	0	16931	1	0	0	0
ERR6210723.104651	16481	6	10	16481	16481	16481	16481	0	1	0	1	0
ERR6210723.104730	15140	7	11	15140	15140	15140	0	15140	1	0	0	0
ERR6210723.104761	16662	8	10	16662	16662	16662	0	16662	1	0	0	0
ERR6210723.104879	17374	8	10	17374	17374	17374	0	17374	1	0	0	0
ERR6210723.105064	13762	6	10	13761	13761	11289	13761	0	2	1	2	0
ERR6210723.105177	17081	6	10	17081	17081	17081	0	17081	1	0	0	0
ERR6210723.105187	15346	7	10	15346	15346	15346	0	15346	1	0	0	0
ERR6210723.105288	14300	7	11	14255	14255	0	0	14255	1	0	0	0
ERR6210723.105446	14898	6	10	14898	14898	14898	0	14898	1	0	0	0
ERR6210723.105555	16890	6	10	16888	16888	16888	16888	0	1	0	1	0
ERR6210723.105557	16194	7	10	16194	16194	16194	0	16194	1	0	0	0
ERR6210723.105676	16319	6	10	16319	16319	16319	16319	0	1	0	1	0
ERR6210723.10581	14899	6	10	14899	14899	14899	0	14899	1	0	0	0
ERR6210723.105863	18049	6	10	18049	18049	18049	18049	0	1	0	1	0
ERR6210723.10609	15992	8	10	15992	15992	0	15992	0	1	1	1	0
ERR6210723.10619	14341	7	10	14341	14341	14341	0	14341	1	5	0	0
ERR6210723.106234	16424	6	10	16424	16424	16424	16424	0	1	0	1	0
ERR6210723.106262	14629	7	11	14629	14629	14629	0	14629	1	0	0	0
ERR6210723.106389	14909	8	10	14909	14909	14909	0	14909	1	0	0	0
ERR6210723.106435	14173	7	11	14173	14173	14173	0	14173	1	0	0	0
ERR6210723.106470	20160	7	10	20160	20160	20160	0	20160	1	0	0	0
ERR6210723.106571	13568	6	10	13568	13568	13568	13568	0	1	0	1	0
ERR6210723.10669	17205	10	10	17205	17205	0	0	17205	1	5	0	0
ERR6210723.106942	17676	6	10	17676	17676	17676	0	17676	1	0	0	0
ERR6210723.10695	14266	6	10	14266	14266	14266	14266	0	1	0	1	0
ERR6210723.107003	16678	7	10	16678	16678	16678	0	16678	1	0	0	0
ERR6210723.107056	14064	8	10	14064	14064	14064	14064	0	1	0	1	0
ERR6210723.107058	15315	6	10	15315	15315	15315	15315	0	1	0	1	0
ERR6210723.107061	14526	7	10	14525	14525	14525	14525	0	1	0	1	0
ERR6210723.10711	16193	7	10	16193	16193	16193	0	16193	1	0	0	0
ERR6210723.107372	14121	7	10	14121	14121	14121	0	14121	1	0	0	0
ERR6210723.107459	14222	6	10	14222	14222	7644	14222	0	2	1	2	0
ERR6210723.107501	14683	6	10	14683	14683	14683	0	14683	1	0	0	0
ERR6210723.107626	14356	6	10	14356	14356	14356	14356	0	1	0	1	0
ERR6210723.107691	14326	7	10	14326	14326	14326	0	14326	1	0	0	0
ERR6210723.107785	14398	7	11	14397	14397	14397	0	14397	1	0	0	0
ERR6210723.108082	17623	8	10	17623	17623	17623	0	17623	1	0	0	0
ERR6210723.10823	5999	7	10	5998	5998	5998	0	5998	1	0	0	0
ERR6210723.108251	8049	6	10	8049	8049	8049	0	8049	1	0	0	0
ERR6210723.108355	13068	7	10	13062	13062	13062	0	13062	1	0	0	0
ERR6210723.108388	14621	7	10	14621	14621	14621	0	14621	1	0	0	0
ERR6210723.108578	14572	7	10	14572	14572	14572	0	14572	1	0	0	0
ERR6210723.108687	18518	7	10	18518	18518	18518	18518	0	1	0	1	0
ERR6210723.108757	17363	6	10	17356	17356	17356	0	17356	1	0	0	0
ERR6210723.108764	15414	7	11	15414	15414	15414	0	15414	1	0	0	0
ERR6210723.108804	14677	7	10	14677	14677	14677	0	14677	1	0	0	0
ERR6210723.109078	15089	6	10	15089	15089	15089	0	15089	1	0	0	0
ERR6210723.109190	14230	7	10	14223	14223	4683	14223	0	2	1	2	0
ERR6210723.109457	14314	9	10	14314	14314	14314	0	14314	1	1	0	0
ERR6210723.109565	14454	10	10	14454	14454	0	0	14454	1	5	0	0
ERR6210723.109595	15832	8	10	15832	15832	15832	0	15832	1	0	0	0
ERR6210723.109825	15925	7	10	15923	15923	15923	0	15923	1	0	0	0
ERR6210723.109906	11636	6	10	11636	11636	10622	11636	0	2	1	2	0
ERR6210723.109950	16660	6	10	16660	16660	16660	16660	0	1	0	1	0
ERR6210723.110050	15772	6	10	15772	15772	15772	0	15772	1	0	0	0
ERR6210723.110254	16007	8	10	16007	16007	16007	0	16007	1	1	0	0
ERR6210723.110272	15690	7	10	15685	15685	15685	0	15685	1	0	0	0
ERR6210723.110273	13924	7	10	13924	13924	0	13924	0	1	1	1	0
ERR6210723.110555	17491	7	10	17491	17491	17491	17491	0	1	0	1	0
ERR6210723.110696	13594	6	10	13594	13594	13594	13594	0	1	0	1	0
ERR6210723.110697	15603	6	10	15603	15603	15603	0	15603	1	0	0	0
ERR6210723.110834	15928	7	10	15927	15927	15927	0	15927	1	0	0	0
ERR6210723.110952	16439	7	10	16437	16437	16437	0	16437	1	0	0	0
ERR6210723.111005	15575	6	10	15573	15573	15573	0	15573	1	0	0	0
ERR6210723.111032	17970	6	10	17970	17970	17970	17970	0	1	0	1	0
ERR6210723.111075	14245	7	10	14245	14245	0	14245	0	1	1	1	0
ERR6210723.111153	15049	7	10	15041	15041	15041	0	15041	1	0	0	0
ERR6210723.111356	15878	6	10	15853	15853	15853	0	15853	1	0	0	0
ERR6210723.111454	17159	6	10	17159	17159	17159	0	17159	1	0	0	0
ERR6210723.111499	5968	8	10	5968	5968	0	0	5968	1	5	0	0
ERR6210723.111543	14554	6	10	14554	14554	14554	14554	0	1	0	1	0
ERR6210723.111633	15956	7	10	15955	15955	15955	0	15955	1	0	0	0
ERR6210723.111694	15962	6	10	15962	15962	15962	0	15962	1	0	0	0
ERR6210723.11171	15717	7	10	15542	15542	15542	0	15542	1	0	0	0
ERR6210723.111777	18892	6	10	18892	18892	18892	0	18892	1	0	0	0
ERR6210723.111788	14891	6	10	14891	14891	14891	0	14891	1	0	0	0
ERR6210723.111951	14670	6	10	14670	14670	14670	0	14670	1	0	0	0
ERR6210723.112191	20020	7	10	20020	20020	20020	20020	0	1	0	1	0
ERR6210723.112380	14055	7	11	14055	14055	14055	0	14055	1	0	0	0
ERR6210723.112520	15729	7	10	15729	15729	15729	0	15729	1	0	0	0
ERR6210723.112568	14403	6	10	14403	14403	14403	0	14403	1	0	0	0
ERR6210723.11257	17548	6	10	17548	17548	17548	17548	0	1	0	1	0
ERR6210723.112658	15365	6	10	15365	15365	15365	0	15365	1	0	0	0
ERR6210723.112671	20075	6	10	20075	20075	20075	0	20075	1	0	0	0
ERR6210723.112749	20424	7	10	20424	20424	20424	0	20424	1	0	0	0
ERR6210723.112756	14766	6	10	14766	14766	14766	0	14766	1	0	0	0
ERR6210723.113217	17579	6	10	17579	17579	17579	0	17579	1	0	0	0
ERR6210723.113409	17566	7	10	17565	17565	17565	0	17565	1	0	0	0
ERR6210723.113682	14995	6	10	14995	14995	14995	0	14995	1	0	0	0
ERR6210723.11376	15456	6	10	15456	15456	15456	0	15456	1	0	0	0
ERR6210723.11392	15367	9	10	15367	15367	0	15367	0	1	1	1	0
ERR6210723.113921	17186	7	11	17186	17186	17186	0	17186	1	0	0	0
ERR6210723.113985	15141	7	10	15141	15141	15141	15141	0	1	0	1	0
ERR6210723.114	15428	7	11	15428	15428	15428	0	15428	1	0	0	0
ERR6210723.114311	17430	7	10	17430	17430	17430	0	17430	1	0	0	0
ERR6210723.114494	14585	9	10	14585	14585	0	14585	0	1	1	1	0
ERR6210723.114496	15872	7	10	15872	15872	15872	0	15872	1	0	0	0
ERR6210723.114515	17367	6	10	17367	17367	17367	17367	0	1	0	1	0
ERR6210723.114576	14576	7	10	14570	14570	14570	0	14570	1	0	0	0
ERR6210723.11461	16970	8	10	16872	16872	0	16872	0	1	1	1	0
ERR6210723.114613	18745	7	10	18745	18745	18745	0	18745	1	0	0	0
ERR6210723.114809	17483	7	10	17483	17483	17483	0	17483	1	0	0	0
ERR6210723.114909	14610	7	10	14606	14606	14606	0	14606	1	0	0	0
ERR6210723.115079	15029	7	10	15027	15027	15027	15027	0	1	0	1	0
ERR6210723.115137	16592	8	10	16592	16592	0	16592	0	1	1	1	0
ERR6210723.115303	18470	6	10	18469	18469	18469	0	18469	1	0	0	0
ERR6210723.115386	16507	5	10	16507	16507	16507	0	16507	1	0	0	0
ERR6210723.115481	14133	6	10	14133	14133	14133	0	14133	1	0	0	0
ERR6210723.115488	17262	6	10	17262	17262	17262	17262	0	1	0	1	0
ERR6210723.115818	15362	7	10	15362	15362	15362	0	15362	1	0	0	0
ERR6210723.115927	17959	7	10	17959	17959	17959	0	17959	1	0	0	0
ERR6210723.116357	15132	6	10	15132	15132	15132	0	15132	1	0	0	0
ERR6210723.116367	14946	7	10	14946	14946	14946	0	14946	1	0	0	0
ERR6210723.116369	15109	7	10	15109	15109	15109	0	15109	1	0	0	0
ERR6210723.116584	18317	7	10	18317	18317	18317	0	18317	1	0	0	0
ERR6210723.116642	21196	7	10	21196	21196	21196	0	21196	1	0	0	0
ERR6210723.116712	15284	8	10	15284	15284	15284	15284	0	1	1	1	0
ERR6210723.116828	16318	7	10	16318	16318	16318	0	16318	1	0	0	0
ERR6210723.116854	15042	6	10	15042	15042	15042	15042	0	1	0	1	0
ERR6210723.116904	15785	8	10	15785	15785	0	0	15785	1	1	0	0
ERR6210723.116975	15204	7	10	15204	15204	15204	0	15204	1	0	0	0
ERR6210723.116976	14923	7	10	14923	14923	14923	0	14923	1	0	0	0
ERR6210723.117299	13546	7	10	13546	13546	1979	13546	0	2	1	2	0
ERR6210723.117357	14605	8	10	14605	14605	0	14605	0	1	1	1	0
ERR6210723.117453	14939	7	10	14937	14937	14937	0	14937	1	0	0	0
ERR6210723.117626	15588	6	10	15580	15580	15580	0	15580	1	0	0	0
ERR6210723.117788	15155	6	10	15155	15155	15155	15155	0	1	0	1	0
ERR6210723.11789	9150	7	10	9150	9150	9150	0	9150	1	0	0	0
ERR6210723.117917	17568	7	10	17568	17568	17568	0	17568	1	0	0	0
ERR6210723.118110	14471	6	10	14462	14462	14462	14462	0	1	0	1	0
ERR6210723.118137	18224	6	10	18220	18220	18220	0	18220	1	0	0	0
ERR6210723.118213	17754	7	10	17748	17748	17748	17748	0	1	0	1	0
ERR6210723.11837	16316	8	10	16316	16316	16316	0	16316	1	1	0	0
ERR6210723.118379	15027	8	10	15027	15027	15027	0	15027	1	0	0	0
ERR6210723.118440	16124	7	10	16124	16124	16124	0	16124	1	0	0	0
ERR6210723.118457	15536	6	10	15536	15536	15536	0	15536	1	0	0	0
ERR6210723.119150	15805	7	10	15805	15805	15805	0	15805	1	0	0	0
ERR6210723.11919	14396	7	10	14396	14396	14396	0	14396	1	0	0	0
ERR6210723.119246	15716	6	10	15716	15716	13196	15716	0	2	1	2	0
ERR6210723.119713	13707	9	10	13707	13707	0	13707	0	1	1	1	0
ERR6210723.119748	15376	6	10	15376	15376	15376	0	15376	1	0	0	0
ERR6210723.119884	14523	6	10	14523	14523	14523	14523	0	1	0	1	0
ERR6210723.119969	14360	6	10	14360	14360	14360	0	14360	1	0	0	0
ERR6210723.120102	15827	6	10	15827	15827	15827	0	15827	1	0	0	0
ERR6210723.120146	14686	7	10	14686	14686	14686	0	14686	1	0	0	0
ERR6210723.120317	15070	7	10	15070	15070	15070	0	15070	1	0	0	0
ERR6210723.120327	15447	9	10	15447	15447	0	15447	0	1	1	1	0
ERR6210723.120381	15089	7	10	15089	15089	15089	0	15089	1	0	0	0
ERR6210723.120397	15067	8	10	15067	15067	0	15067	0	1	1	1	0
ERR6210723.120641	14468	8	10	14467	14467	14467	14467	0	1	0	1	0
ERR6210723.120798	16362	6	10	16358	16358	16358	0	16358	1	0	0	0
ERR6210723.121164	15141	7	11	15141	15141	15141	0	15141	1	0	0	0
ERR6210723.121212	16014	7	10	16014	16014	16014	0	16014	1	0	0	0
ERR6210723.12127	15182	8	10	15182	15182	15182	0	15182	1	0	0	0
ERR6210723.121315	17675	7	10	17675	17675	17675	17675	0	1	0	1	0
ERR6210723.121368	14564	5	10	14556	14556	14556	14556	0	1	0	1	0
ERR6210723.121489	16525	7	10	16525	16525	16525	0	16525	1	0	0	0
ERR6210723.121509	14401	6	10	14400	14400	14400	0	14400	1	0	0	0
ERR6210723.121667	16788	8	10	16787	16787	16787	0	16787	1	0	0	0
ERR6210723.121827	14204	7	10	14204	14204	14204	0	14204	1	0	0	0
ERR6210723.121902	16828	7	10	16828	16828	16828	0	16828	1	0	0	0
ERR6210723.12215	18174	6	10	18170	18170	18170	0	18170	1	0	0	0
ERR6210723.122635	14352	6	10	14352	14352	14352	0	14352	1	0	0	0
ERR6210723.122664	14477	7	10	14477	14477	14477	0	14477	1	0	0	0
ERR6210723.122738	17165	7	10	17158	17158	17158	0	17158	1	0	0	0
ERR6210723.122752	14971	6	10	14971	14971	14971	0	14971	1	0	0	0
ERR6210723.122768	16137	7	10	16137	16137	0	0	16137	1	5	0	0
ERR6210723.122796	15599	6	10	15599	15599	15599	0	15599	1	0	0	0
ERR6210723.122845	7344	6	10	7344	7344	7344	0	7344	1	0	0	0
ERR6210723.123115	15050	7	10	15048	15048	15048	0	15048	1	0	0	0
ERR6210723.123122	15537	7	10	15532	15532	15532	0	15532	1	0	0	0
ERR6210723.123317	15086	7	10	15081	15081	15081	0	15081	1	0	0	0
ERR6210723.123323	15538	7	11	15538	15538	15538	0	15538	1	0	0	0
ERR6210723.123485	14573	7	10	14573	14573	14573	0	14573	1	1	0	0
ERR6210723.123610	15273	7	10	15272	15272	15272	0	15272	1	0	0	0
ERR6210723.123686	16356	7	10	16356	16356	16356	16356	0	1	0	1	0
ERR6210723.12394	13866	6	10	13866	13866	13866	0	13866	1	0	0	0
ERR6210723.12396	14632	6	10	14632	14632	14632	14632	0	1	0	1	0
ERR6210723.123964	19728	6	10	19728	19728	19728	0	19728	1	0	0	0
ERR6210723.12399	14468	7	10	14468	14468	14468	0	14468	1	0	0	0
ERR6210723.12406	17441	6	10	17441	17441	17441	0	17441	1	0	0	0
ERR6210723.124114	14802	6	10	14802	14802	14802	14802	0	1	0	1	0
ERR6210723.124117	15580	8	10	15580	15580	15580	15580	0	1	0	1	0
ERR6210723.124182	15851	7	10	15851	15851	15851	0	15851	1	0	0	0
ERR6210723.124334	19091	7	10	19091	19091	19091	0	19091	1	0	0	0
ERR6210723.124364	17457	6	10	17457	17457	17457	0	17457	1	0	0	0
ERR6210723.124387	16028	7	10	16028	16028	16028	0	16028	1	0	0	0
ERR6210723.124406	16932	7	10	16932	16932	16932	0	16932	1	0	0	0
ERR6210723.124852	16524	6	10	16524	16524	16524	16524	0	1	0	1	0
ERR6210723.124918	15830	6	10	15830	15830	15830	15830	0	1	0	1	0
ERR6210723.124990	13582	7	10	13579	13579	13579	0	13579	1	0	0	0
ERR6210723.125014	14456	6	10	14456	14456	14456	14456	0	1	0	1	0
ERR6210723.125085	15321	7	10	15321	15321	15321	0	15321	1	0	0	0
ERR6210723.12514	16276	7	10	16275	16275	16275	0	16275	1	0	0	0
ERR6210723.125317	16273	7	10	16273	16273	16273	0	16273	1	0	0	0
ERR6210723.125378	15534	7	10	15532	15532	15532	0	15532	1	0	0	0
ERR6210723.125481	15054	7	10	15054	15054	15054	15054	0	1	0	1	0
ERR6210723.125540	14711	6	10	14711	14711	14711	0	14711	1	0	0	0
ERR6210723.125815	16155	7	10	16155	16155	16155	0	16155	1	0	0	0
ERR6210723.125852	16746	6	10	16746	16746	16746	0	16746	1	0	0	0
ERR6210723.125986	17383	6	10	17383	17383	17383	0	17383	1	0	0	0
ERR6210723.126100	18520	7	10	18520	18520	18520	0	18520	1	0	0	0
ERR6210723.126218	15946	7	10	15946	15946	15946	15946	0	1	0	1	0
ERR6210723.126290	15725	6	10	15725	15725	15725	15725	0	1	0	1	0
ERR6210723.126516	14381	6	10	14378	14378	14378	0	14378	1	0	0	0
ERR6210723.126533	15822	7	10	15822	15822	15822	15822	0	1	0	1	0
ERR6210723.127068	14389	7	10	14389	14389	14389	0	14389	1	0	0	0
ERR6210723.127200	16291	6	10	16291	16291	16291	0	16291	1	0	0	0
ERR6210723.127266	14342	6	10	14342	14342	14342	0	14342	1	0	0	0
ERR6210723.127469	14939	6	10	14939	14939	14939	0	14939	1	0	0	0
ERR6210723.127802	13914	6	10	13914	13914	13914	0	13914	1	0	0	0
ERR6210723.127920	17178	7	10	17178	17178	17178	0	17178	1	0	0	0
ERR6210723.12794	15860	6	10	15860	15860	15860	0	15860	1	0	0	0
ERR6210723.128065	15993	6	10	15993	15993	15993	0	15993	1	0	0	0
ERR6210723.128177	15324	6	10	15324	15324	15324	0	15324	1	0	0	0
ERR6210723.128195	16465	7	10	16465	16465	16465	0	16465	1	0	0	0
ERR6210723.128290	17485	6	10	17373	17373	17373	17373	0	1	0	1	0
ERR6210723.128438	13460	6	10	13460	13460	13460	0	13460	1	0	0	0
ERR6210723.128554	14907	7	10	14907	14907	14907	0	14907	1	0	0	0
ERR6210723.128765	15959	7	10	15954	15954	15954	15954	0	1	0	1	0
ERR6210723.128789	14769	8	10	14736	14736	14736	0	14736	1	0	0	0
ERR6210723.129088	15994	6	10	15989	15989	15989	0	15989	1	0	0	0
ERR6210723.129375	15717	7	11	15717	15717	15717	0	15717	1	0	0	0
ERR6210723.129406	15835	7	11	15835	15835	15835	0	15835	1	0	0	0
ERR6210723.129409	14742	6	10	14742	14742	14742	14742	0	1	0	1	0
ERR6210723.129959	16661	6	10	16652	16652	16652	0	16652	1	0	0	0
ERR6210723.12996	14903	7	10	14902	14902	14902	0	14902	1	0	0	0
ERR6210723.130116	14309	7	10	14309	14309	14309	0	14309	1	0	0	0
ERR6210723.130196	15614	7	10	15614	15614	15614	0	15614	1	0	0	0
ERR6210723.13040	14745	6	10	14745	14745	14745	0	14745	1	0	0	0
ERR6210723.130585	14955	6	10	14955	14955	14955	0	14955	1	0	0	0
ERR6210723.130637	14280	7	10	14280	14280	14280	0	14280	1	0	0	0
ERR6210723.130701	14461	7	10	14461	14461	14461	0	14461	1	0	0	0
ERR6210723.130751	8845	7	10	8845	8845	8845	0	8845	1	0	0	0
ERR6210723.130974	14131	6	10	14128	14128	14128	0	14128	1	0	0	0
ERR6210723.130976	15237	6	10	15237	15237	15237	0	15237	1	0	0	0
ERR6210723.131284	17126	6	10	17126	17126	17126	0	17126	1	0	0	0
ERR6210723.131323	14542	6	10	14542	14542	14542	0	14542	1	0	0	0
ERR6210723.131355	19350	7	10	19350	19350	19350	0	19350	1	0	0	0
ERR6210723.131370	14661	7	10	14661	14661	14661	0	14661	1	0	0	0
ERR6210723.13162	15508	6	10	15508	15508	15508	15508	0	1	0	1	0
ERR6210723.131675	15344	7	10	15344	15344	15344	0	15344	1	0	0	0
ERR6210723.131857	15292	8	10	15292	15292	15292	0	15292	1	1	0	0
ERR6210723.131893	16717	6	10	16717	16717	16717	0	16717	1	0	0	0
ERR6210723.132006	16005	6	10	16005	16005	16005	0	16005	1	0	0	0
ERR6210723.132022	14823	7	10	14823	14823	14823	0	14823	1	0	0	0
ERR6210723.132029	6684	7	10	6684	6684	0	6684	0	1	1	1	0
ERR6210723.132104	17576	7	10	17576	17576	17576	0	17576	1	0	0	0
ERR6210723.132310	18243	6	10	18243	18243	18243	0	18243	1	0	0	0
ERR6210723.132377	18073	6	10	18073	18073	18073	0	18073	1	0	0	0
ERR6210723.132434	18614	6	10	18614	18614	18614	0	18614	1	0	0	0
ERR6210723.132784	18803	7	10	18801	18801	0	0	18801	1	5	0	0
ERR6210723.133036	16010	8	10	16010	16010	16010	0	16010	1	0	0	0
ERR6210723.133157	18275	6	10	18275	18275	18275	18275	0	1	0	1	0
ERR6210723.133203	17623	7	10	17623	17623	17623	0	17623	1	0	0	0
ERR6210723.133214	16535	8	10	16535	16535	16535	0	16535	1	0	0	0
ERR6210723.133217	15089	7	11	15088	15088	15088	0	15088	1	0	0	0
ERR6210723.13328	19310	6	10	19310	19310	19310	19310	0	1	0	1	0
ERR6210723.133468	17534	7	10	17533	17533	17533	0	17533	1	0	0	0
ERR6210723.13353	14989	6	10	14989	14989	14989	14989	0	1	0	1	0
ERR6210723.133735	18268	7	10	18267	18267	18267	0	18267	1	0	0	0
ERR6210723.133816	13985	7	10	13985	13985	13985	0	13985	1	0	0	0
ERR6210723.13385	15770	6	10	15765	15765	11776	15765	0	2	1	2	0
ERR6210723.133972	14530	7	10	14530	14530	14530	0	14530	1	0	0	0
ERR6210723.133980	14540	7	10	14540	14540	14540	14540	0	1	0	1	0
ERR6210723.134068	18368	6	10	18368	18368	18368	0	18368	1	0	0	0
ERR6210723.134128	16531	7	10	16531	16531	16531	0	16531	1	0	0	0
ERR6210723.134171	19859	7	10	19859	19859	19859	0	19859	1	0	0	0
ERR6210723.134242	15719	8	10	15719	15719	15719	0	15719	1	0	0	0
ERR6210723.134265	15525	10	10	15525	14776	14776	0	14776	1	5	0	0
ERR6210723.13457	13943	7	10	13943	13943	13943	0	13943	1	0	0	0
ERR6210723.134584	14539	6	10	14531	14531	14531	0	14531	1	0	0	0
ERR6210723.134920	14738	7	10	14738	14738	14738	0	14738	1	0	0	0
ERR6210723.134997	16186	7	10	16186	16186	16186	0	16186	1	0	0	0
ERR6210723.135188	15010	5	10	15010	15010	15010	15010	0	1	0	1	0
ERR6210723.135249	15094	6	10	15094	15094	15094	0	15094	1	0	0	0
ERR6210723.135308	15594	10	11	15594	15594	15594	0	15594	1	5	0	0
ERR6210723.135440	13783	8	10	13783	13783	13783	13783	0	1	0	1	0
ERR6210723.135441	16490	5	10	16490	16490	16490	16490	0	1	0	1	0
ERR6210723.135555	15357	7	10	15357	15357	15357	15357	0	1	0	1	0
ERR6210723.135966	15238	7	10	15238	15238	15238	0	15238	2	0	0	0
ERR6210723.136027	15951	7	10	15951	15951	5089	15951	0	2	1	2	0
ERR6210723.136028	16020	6	10	16020	16020	16020	0	16020	1	0	0	0
ERR6210723.136105	17187	7	10	17187	17187	17187	0	17187	1	0	0	0
ERR6210723.136133	13725	10	10	13725	13725	13725	0	13725	1	5	0	0
ERR6210723.136203	15474	7	10	15474	15474	15474	0	15474	1	0	0	0
ERR6210723.136234	7429	7	10	7428	7428	7428	7428	0	1	0	1	0
ERR6210723.136271	16873	7	10	16873	16873	16873	0	16873	1	0	0	0
ERR6210723.136277	18912	7	10	18912	18912	18912	0	18912	1	0	0	0
ERR6210723.13636	18111	8	10	18111	18111	0	18111	0	1	1	1	0
ERR6210723.136472	15381	7	10	15380	15380	15380	15380	0	1	0	1	0
ERR6210723.136475	14865	7	10	14865	14865	14865	0	14865	1	0	0	0
ERR6210723.136655	16574	7	10	16574	16574	16574	16574	0	1	0	1	0
ERR6210723.136897	15617	7	10	15617	15617	15617	0	15617	1	0	0	0
ERR6210723.136901	15968	6	10	15968	15968	15968	0	15968	1	0	0	0
ERR6210723.137022	12366	6	10	12366	12366	12366	12366	0	1	0	1	0
ERR6210723.137069	16537	7	10	16537	16537	16537	0	16537	1	0	0	0
ERR6210723.137081	14709	6	10	14709	14709	14709	0	14709	1	0	0	0
ERR6210723.13715	16370	7	10	16370	16370	16370	0	16370	1	0	0	0
ERR6210723.13717	15375	7	10	15373	15373	15373	0	15373	1	0	0	0
ERR6210723.137201	16250	7	10	16250	16250	16250	0	16250	1	0	0	0
ERR6210723.137269	15439	6	10	15439	15439	15439	0	15439	1	0	0	0
ERR6210723.13731	18158	8	10	18158	18158	0	0	18158	1	5	0	0
