family_id	tandemx_array_bp	selected_annotation_overlap_bp	selected_annotation_fraction_of_array	best_annotation_class	best_annotation_overlap_bp	overlap_class_count	warning
TXF000129	764	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000132	6516	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000133	1212	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000134	1024	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000136	598	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000137	40584	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000139	377	334	0.8859416445623343	centromere	248	2	
TXF000140	2147	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000141	988	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000142	882	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000143	1256	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000145	144	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000146	1212	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000147	2545	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000148	596	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000149	259	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000151	374	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000153	59042	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000154	18297	18262	0.9980871181067935	centromere	18262	1	
TXF000155	4164	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000156	55	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000158	1673	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000159	651	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000160	370	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000161	562	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000162	43	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000163	103	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000164	657	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000165	1230	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000166	337	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000167	112	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000168	4014	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000169	153	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000174	412	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000175	6529	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000176	2165	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000177	3024	3024	1.0	45S_rDNA	3024	1	
TXF000178	2884	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000179	308	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000180	995	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000181	181	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000182	157	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000183	237	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000184	326	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000185	1276	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000186	64	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000187	484	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000188	66	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000189	44	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000191	4862	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000192	3625	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000193	2800	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000194	745	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000195	1584	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000196	424	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000198	506	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000199	328	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000200	61	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000202	1356	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000203	233	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000204	504	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000206	98	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000207	549	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000209	141	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000210	1147	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000211	254	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000212	86	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000213	84	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000214	103	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000215	46	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000216	83	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000218	1163	1163	1.0	centromere	1163	1	
TXF000219	1251	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000221	1263	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000222	5021	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000225	501	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000226	485	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000228	2058	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000229	499	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000230	249	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000231	1544	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000233	11189	11189	1.0	45S_rDNA	11189	1	
TXF000234	161	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000235	3117	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000236	227	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000237	203	99	0.4876847290640394	centromere	99	1	
TXF000238	293	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000239	590	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000240	1187	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000241	64	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000242	92	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000243	160	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000244	527	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000245	987	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000246	263	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000248	87	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000249	949	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000250	111	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000251	471	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000253	108	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000254	94	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000255	69	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000256	106	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000258	98	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000260	3244	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000262	5618	5116	0.9106443574225703	centromere	3674	2	
TXF000264	14535	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000265	718	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000266	1270	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000267	537	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000268	518	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000270	828	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000271	768	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000272	171	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000273	1291	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000274	246	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000275	460	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000276	394	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000277	202	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000278	541	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000280	180	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000281	214	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000283	181	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000284	2656	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000285	149	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000286	340	340	1.0	telomere	340	1	
TXF000287	133	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000288	267	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000289	78	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000290	323	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000291	110	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000292	180	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000293	635	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000294	156	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000295	156	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000296	118	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000297	76	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000298	126	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000300	78	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000301	236	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000302	66	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000306	96	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000307	90	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000308	190	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000309	1426	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000310	59	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000311	96	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000312	120	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000313	91	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000314	43	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000315	77	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000318	148	146	0.9864864864864865	centromere	146	1	
TXF000319	144148	144067	0.999438077531426	centromere	144067	1	
TXF000320	2129	1618	0.759981211836543	centromere	1265	2	
TXF000321	639	639	1.0	centromere	639	1	
TXF000322	820	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000323	542	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000324	869	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000325	765	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000326	6415	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000327	2582	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000329	246	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000330	421	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000331	565	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000332	515	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000333	2602	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000334	865	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000335	543	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000336	374	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000337	624	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000338	282	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000339	689	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000340	422	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000341	602	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000342	752	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000343	1786	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000344	1035	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000345	228	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000346	5257	5257	1.0	45S_rDNA	5257	1	
TXF000347	247	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000348	259	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000349	582	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000350	244	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000351	293	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000352	113	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000353	293	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000354	131	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000355	152	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000356	262	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000357	153	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000358	145	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000359	148	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000360	184	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000361	151	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000362	59	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000363	174	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000364	175	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000365	88	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000366	122	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000367	120	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000368	337	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000369	133	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000370	101	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000371	498	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000372	138	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000373	136	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000374	173	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000375	146	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000376	123	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000377	122	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000379	89	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000380	95	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000381	69	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000382	390	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000383	105	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000384	56	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000385	264	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000386	105	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000387	46	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000388	93	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000389	74	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000390	110	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000391	79	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000392	62	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000393	212	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000394	265	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000395	84	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000396	101	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000397	85	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000398	59	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000399	82	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000400	118	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000401	85	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000402	576	576	1.0	centromere	576	1	
TXF000404	575	575	1.0	centromere	575	1	
TXF000405	1122	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000406	3231	3231	1.0	centromere	3231	1	
TXF000407	6343	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000410	1383	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000411	1063	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000412	3785	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000413	961	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000414	959	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000415	734	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000416	763	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000417	767	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000418	968	951	0.9824380165289256	centromere	951	1	
TXF000419	605	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000420	114	114	1.0	centromere	114	1	
TXF000421	2060	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000422	430	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000423	1142	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000424	965	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000425	1025	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000426	566	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000427	511	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000428	413	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000429	238	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000430	365	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000431	712	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000432	296	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000433	591	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000435	89	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000436	663	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000437	998	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000438	304	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000439	1125	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000440	212	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000441	378	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000442	395	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000443	187	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000444	387	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000445	170	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000446	721	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000447	322	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000448	329	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000449	821	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000450	739	739	1.0	telomere	739	1	
TXF000451	1714	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000452	416	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000453	474	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000454	120	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000455	5707	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000456	272	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000457	210	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000458	261	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000459	332	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000461	293	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000462	205	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000463	211	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000465	119	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000466	298	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000467	203	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000468	186	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000469	116	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000470	196	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000471	207	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000472	199	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000473	212	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000474	274	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000475	161	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000477	121	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000478	152	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000479	127	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000480	121	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000481	588	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000482	124	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000483	228	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000484	116	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000485	155	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000486	91	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000487	105	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000489	740	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000490	48	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000491	170	170	1.0	45S_rDNA	170	1	
TXF000492	117	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000493	54	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000494	150	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000495	69	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000496	347	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000497	146	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000498	140	0	0.0	NA	0	0	no_selected_author_annotation_overlap
