family_id	monomer_id	monomer_length_bp	consensus_md5	gc_fraction	support_read_count	support_span_bp	mean_identity	low_complexity_flag	confidence	warning
TXF000013	TXM000013	54	124bd68752cffad79152dfeb35922b7a	0.7037	177	122200	0.8690	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000013-TXF000081;possible_higher_order_or_partial:TXF000013-TXF000336;possible_higher_order_or_partial:TXF000013-TXF000401;possible_higher_order_or_partial:TXF000013-TXF000495;possible_higher_order_or_partial:TXF000013-TXF000580;possible_higher_order_or_partial:TXF000013-TXF000596
TXF000014	TXM000014	341	4caca80118dcd8311f8bcdf404afef7e	0.4751	164	1853387	0.9214	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000014-TXF000197;possible_higher_order_or_partial:TXF000014-TXF000492;possible_higher_order_or_partial:TXF000014-TXF000681;possible_higher_order_or_partial:TXF000014-TXF000688
TXF000015	TXM000015	52	10b864de113bf1f7b2a5aaad0bfe5347	0.6346	155	132034	0.8276	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000015-TXF000079;possible_higher_order_or_partial:TXF000015-TXF000176;possible_higher_order_or_partial:TXF000015-TXF000261;possible_higher_order_or_partial:TXF000015-TXF000282;possible_higher_order_or_partial:TXF000015-TXF000325;possible_higher_order_or_partial:TXF000015-TXF000567;possible_higher_order_or_partial:TXF000015-TXF000683;possible_higher_order_or_partial:TXF000015-TXF000690;possible_higher_order_or_partial:TXF000015-TXF000710;possible_higher_order_or_partial:TXF000015-TXF000886
TXF000016	TXM000016	48	db822be3917c5b173c42b200f9436baf	0.6250	155	19610	0.7955	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000016-TXF000194;possible_higher_order_or_partial:TXF000016-TXF000316;possible_higher_order_or_partial:TXF000016-TXF000317;possible_higher_order_or_partial:TXF000016-TXF000663
TXF000017	TXM000017	36	3dda0fcfb40116931b6a995d5d6d25d0	0.0000	143	15891	0.9027	true	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;low_complexity_family;likely_redundant:TXF000010-TXF000017;likely_redundant:TXF000017-TXF000039;possible_higher_order_or_partial:TXF000017-TXF000049;possible_higher_order_or_partial:TXF000017-TXF000082;likely_redundant:TXF000017-TXF000350;likely_redundant:TXF000017-TXF000352;possible_higher_order_or_partial:TXF000017-TXF000397;possible_higher_order_or_partial:TXF000017-TXF000426;likely_redundant:TXF000017-TXF000430;possible_higher_order_or_partial:TXF000017-TXF000686;possible_higher_order_or_partial:TXF000017-TXF001132
TXF000018	TXM000018	84	d4f70371df22ead8a1f0cfa8fffd97bc	0.4286	139	36144	0.8612	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000018-TXF000056;possible_higher_order_or_partial:TXF000018-TXF000093;possible_higher_order_or_partial:TXF000018-TXF000120;possible_higher_order_or_partial:TXF000018-TXF000160;possible_higher_order_or_partial:TXF000018-TXF000166;possible_higher_order_or_partial:TXF000018-TXF000203;possible_higher_order_or_partial:TXF000018-TXF000224;possible_higher_order_or_partial:TXF000018-TXF000237;possible_higher_order_or_partial:TXF000018-TXF000249;possible_higher_order_or_partial:TXF000018-TXF000288;possible_higher_order_or_partial:TXF000018-TXF000293;possible_higher_order_or_partial:TXF000018-TXF000311;possible_higher_order_or_partial:TXF000018-TXF000340;possible_higher_order_or_partial:TXF000018-TXF000375;possible_higher_order_or_partial:TXF000018-TXF000384;possible_higher_order_or_partial:TXF000018-TXF000385;possible_higher_order_or_partial:TXF000018-TXF000530;possible_higher_order_or_partial:TXF000018-TXF000619;possible_higher_order_or_partial:TXF000018-TXF000644;possible_higher_order_or_partial:TXF000018-TXF000807;possible_higher_order_or_partial:TXF000018-TXF000821;possible_higher_order_or_partial:TXF000018-TXF001014;possible_higher_order_or_partial:TXF000018-TXF001191
TXF000019	TXM000019	50	2a92a7a9e8a7f8bada798b33212cda5e	0.3000	122	14090	0.8857	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;likely_redundant:TXF000019-TXF000038;possible_higher_order_or_partial:TXF000019-TXF000121;likely_redundant:TXF000019-TXF000278;possible_higher_order_or_partial:TXF000019-TXF000858;possible_higher_order_or_partial:TXF000019-TXF001164;possible_higher_order_or_partial:TXF000019-TXF001210
TXF000020	TXM000020	30	8c33feed948d8a5cca6df6a0f0befe6c	0.4333	114	19747	0.8234	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000021	TXM000021	49	e98dc56f8ac865e25e333bc0a38f5137	0.5714	114	13471	0.8087	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000021-TXF000052;possible_higher_order_or_partial:TXF000021-TXF000167;possible_higher_order_or_partial:TXF000021-TXF001172
TXF000022	TXM000022	235	e51411f08c5e55a26fe45fcc58ac5d2f	0.4979	113	82297	0.8420	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000001-TXF000022;possible_higher_order_or_partial:TXF000008-TXF000022;possible_higher_order_or_partial:TXF000009-TXF000022;possible_higher_order_or_partial:TXF000022-TXF000128;possible_higher_order_or_partial:TXF000022-TXF000143;possible_higher_order_or_partial:TXF000022-TXF000367;possible_higher_order_or_partial:TXF000022-TXF000707
TXF000023	TXM000023	52	6dc12d374f2a4a9941bb5f5128fbc36b	0.6923	106	39663	0.8395	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000023-TXF000564
TXF000024	TXM000024	49	1e391d6f186e828a5fbd09745166b129	0.4082	105	16487	0.8920	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000024-TXF000029;possible_higher_order_or_partial:TXF000024-TXF000637;possible_higher_order_or_partial:TXF000024-TXF000826;possible_higher_order_or_partial:TXF000024-TXF001110;possible_higher_order_or_partial:TXF000024-TXF001142
TXF000025	TXM000025	43	68a86da2627c4245e7584e9117801fee	0.6512	103	20975	0.8411	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000025-TXF000756
TXF000026	TXM000026	55	87fbcaab3cede430ebd0b30d39e96c80	0.6545	98	25012	0.8138	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000026-TXF000045;possible_higher_order_or_partial:TXF000026-TXF000071;possible_higher_order_or_partial:TXF000026-TXF000108;possible_higher_order_or_partial:TXF000026-TXF000117;possible_higher_order_or_partial:TXF000026-TXF000212;possible_higher_order_or_partial:TXF000026-TXF000214;possible_higher_order_or_partial:TXF000026-TXF000270;possible_higher_order_or_partial:TXF000026-TXF000374;possible_higher_order_or_partial:TXF000026-TXF000416;possible_higher_order_or_partial:TXF000026-TXF000475;possible_higher_order_or_partial:TXF000026-TXF000515;likely_redundant:TXF000026-TXF000729;possible_higher_order_or_partial:TXF000026-TXF000754;possible_higher_order_or_partial:TXF000026-TXF000996;possible_higher_order_or_partial:TXF000026-TXF001024
TXF000027	TXM000027	52	e1559849a9da5f53d3862a8039a5b620	0.6154	91	81247	0.8344	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000027-TXF000079;possible_higher_order_or_partial:TXF000027-TXF000147;possible_higher_order_or_partial:TXF000027-TXF000176;possible_higher_order_or_partial:TXF000027-TXF000362;possible_higher_order_or_partial:TXF000027-TXF000443;possible_higher_order_or_partial:TXF000027-TXF000564
TXF000028	TXM000028	33	22825ad271b1423d079a9a212f8f3ce0	0.6061	88	9437	0.8497	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000028-TXF000062
TXF000029	TXM000029	48	77492309c457b8da9cbc3d9049c65f46	0.4583	85	13207	0.8818	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000024-TXF000029;possible_higher_order_or_partial:TXF000029-TXF000086;possible_higher_order_or_partial:TXF000029-TXF000091;possible_higher_order_or_partial:TXF000029-TXF000274;possible_higher_order_or_partial:TXF000029-TXF000314;possible_higher_order_or_partial:TXF000029-TXF000388;possible_higher_order_or_partial:TXF000029-TXF000660;possible_higher_order_or_partial:TXF000029-TXF000826;possible_higher_order_or_partial:TXF000029-TXF001009;possible_higher_order_or_partial:TXF000029-TXF001110
TXF000030	TXM000030	42	cd3dc979749aa60d06b63fb6768d0d76	0.3810	84	9920	0.8651	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000030-TXF000846
TXF000031	TXM000031	120	2e5fc5245bc36e36b809b9a380ae1038	0.4500	82	20611	0.8374	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000031-TXF000609
TXF000032	TXM000032	104	7de21fe3cc585bf8def7570a98d0d460	0.5769	78	67025	0.8804	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000032-TXF000244
TXF000033	TXM000033	58	0e922fcc2e43ed208bd470a3d99440e5	0.6207	77	28553	0.8136	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000033-TXF000097;possible_higher_order_or_partial:TXF000033-TXF000172;possible_higher_order_or_partial:TXF000033-TXF000247;possible_higher_order_or_partial:TXF000033-TXF000960
TXF000034	TXM000034	44	53eb65c3a5654b16fa08ecb401b4d79f	0.4091	77	11789	0.8879	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000035	TXM000035	43	f5c5a99cbe42591208b28db52cb8499e	0.3721	77	8905	0.8801	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000036	TXM000036	30	a5763f685345a680b53776064f8d7081	0.0000	73	13670	0.9141	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;likely_redundant:TXF000036-TXF000068;likely_redundant:TXF000036-TXF000234;possible_higher_order_or_partial:TXF000036-TXF000654;possible_higher_order_or_partial:TXF000036-TXF001146
TXF000037	TXM000037	43	f67446586a1fc560ec078941048c2c1d	0.6279	72	12869	0.8569	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000037-TXF000271
TXF000038	TXM000038	53	f9fb418eeb595389112120045fee7707	0.2830	72	9303	0.8868	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;likely_redundant:TXF000019-TXF000038;possible_higher_order_or_partial:TXF000038-TXF000121;possible_higher_order_or_partial:TXF000038-TXF000125;possible_higher_order_or_partial:TXF000038-TXF000208;possible_higher_order_or_partial:TXF000038-TXF000228;possible_higher_order_or_partial:TXF000038-TXF000276;likely_redundant:TXF000038-TXF000278;possible_higher_order_or_partial:TXF000038-TXF000489;possible_higher_order_or_partial:TXF000038-TXF000667;possible_higher_order_or_partial:TXF000038-TXF000858;possible_higher_order_or_partial:TXF000038-TXF001164;possible_higher_order_or_partial:TXF000038-TXF001173;possible_higher_order_or_partial:TXF000038-TXF001196;possible_higher_order_or_partial:TXF000038-TXF001210
TXF000039	TXM000039	42	b307cd591ee142edf9a09bd6a7bacf49	0.0000	72	8179	0.9211	true	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;low_complexity_family;possible_higher_order_or_partial:TXF000010-TXF000039;likely_redundant:TXF000017-TXF000039;likely_redundant:TXF000039-TXF000049;likely_redundant:TXF000039-TXF000082;possible_higher_order_or_partial:TXF000039-TXF000350;likely_redundant:TXF000039-TXF000352;possible_higher_order_or_partial:TXF000039-TXF000397;possible_higher_order_or_partial:TXF000039-TXF000426;possible_higher_order_or_partial:TXF000039-TXF000430;possible_higher_order_or_partial:TXF000039-TXF001132
TXF000040	TXM000040	130	24a08ad1c3e01b8a04da7f64076242a7	0.4154	71	54595	0.8290	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000040-TXF000220;possible_higher_order_or_partial:TXF000040-TXF000505
TXF000041	TXM000041	32	cff95a13ecad217da5af1edacd4f1900	0.3750	71	9726	0.8749	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000042	TXM000042	32	514dab0e06dbc36aaf875dac8e56183b	0.5000	71	7648	0.8912	true	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;low_complexity_family;likely_redundant:TXF000042-TXF000096;possible_higher_order_or_partial:TXF000042-TXF000157;possible_higher_order_or_partial:TXF000042-TXF000240;likely_redundant:TXF000042-TXF000297;possible_higher_order_or_partial:TXF000042-TXF000395;likely_redundant:TXF000042-TXF000555;possible_higher_order_or_partial:TXF000042-TXF000885;possible_higher_order_or_partial:TXF000042-TXF000904;possible_higher_order_or_partial:TXF000042-TXF000958;possible_higher_order_or_partial:TXF000042-TXF001002;possible_higher_order_or_partial:TXF000042-TXF001170
TXF000043	TXM000043	173	aabffa667ae84fb01eb8137a66457ca2	0.2486	69	25725	0.9435	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000044	TXM000044	89	fee0da92df563cce731455538e44a886	0.5955	68	23736	0.8635	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000044-TXF000173;possible_higher_order_or_partial:TXF000044-TXF001192
TXF000045	TXM000045	55	2036e8817616a77130754057a38fc60f	0.6182	66	18258	0.8234	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000026-TXF000045;possible_higher_order_or_partial:TXF000045-TXF000108;possible_higher_order_or_partial:TXF000045-TXF000117;possible_higher_order_or_partial:TXF000045-TXF000212;possible_higher_order_or_partial:TXF000045-TXF000214;possible_higher_order_or_partial:TXF000045-TXF000534;possible_higher_order_or_partial:TXF000045-TXF000729;possible_higher_order_or_partial:TXF000045-TXF000742;possible_higher_order_or_partial:TXF000045-TXF001024
TXF000046	TXM000046	59	976eda4587463d6428cfdfb5bda6ead7	0.3390	66	9748	0.8512	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000046-TXF000099;possible_higher_order_or_partial:TXF000046-TXF000651;possible_higher_order_or_partial:TXF000046-TXF000817;possible_higher_order_or_partial:TXF000046-TXF001102
TXF000047	TXM000047	141	87bf21dfb1b809828406f9b980a071cc	0.5248	64	44856	0.9331	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000047-TXF000909;possible_higher_order_or_partial:TXF000047-TXF000921
TXF000048	TXM000048	101	5cecb42a40cb48c5f80d1cb3558ab474	0.4653	64	35668	0.8777	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000048-TXF000149;possible_higher_order_or_partial:TXF000048-TXF000222;possible_higher_order_or_partial:TXF000048-TXF000329;possible_higher_order_or_partial:TXF000048-TXF000331;possible_higher_order_or_partial:TXF000048-TXF000578;possible_higher_order_or_partial:TXF000048-TXF000955
TXF000049	TXM000049	46	0517aee145184842e7ba6b1600cfb6a3	0.0000	63	6899	0.9306	true	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;low_complexity_family;possible_higher_order_or_partial:TXF000010-TXF000049;possible_higher_order_or_partial:TXF000017-TXF000049;likely_redundant:TXF000039-TXF000049;likely_redundant:TXF000049-TXF000082;possible_higher_order_or_partial:TXF000049-TXF000350;possible_higher_order_or_partial:TXF000049-TXF000352;possible_higher_order_or_partial:TXF000049-TXF000426;possible_higher_order_or_partial:TXF000049-TXF000430;likely_redundant:TXF000049-TXF001132
TXF000050	TXM000050	40	43e23a69a50a73e02da142137380d9c4	0.5000	60	16403	0.8373	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000051	TXM000051	61	1909a554995e114f9199b9f3fddae17c	0.3934	60	9070	0.9604	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000052	TXM000052	49	693d20487009d00de4e847d3312f8ee4	0.5306	59	7274	0.8162	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000021-TXF000052;possible_higher_order_or_partial:TXF000052-TXF000133
TXF000053	TXM000053	52	953324e92f697dcafdc3c0261e32637e	0.5192	58	26918	0.8193	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000053-TXF000944
TXF000054	TXM000054	58	69fe44cec9deceea2452df15f7a0102b	0.2931	58	9068	0.9115	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000055	TXM000055	52	1d100185e4c51779989a6d2514c8bf3c	0.6538	57	31852	0.8324	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000055-TXF000442;possible_higher_order_or_partial:TXF000055-TXF000683;possible_higher_order_or_partial:TXF000055-TXF000710;possible_higher_order_or_partial:TXF000055-TXF000889;possible_higher_order_or_partial:TXF000055-TXF000891
TXF000056	TXM000056	34	d7b8e5dc94596bfbf4090dea6fa8989e	0.4706	57	6937	0.8338	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000018-TXF000056;possible_higher_order_or_partial:TXF000056-TXF000120;possible_higher_order_or_partial:TXF000056-TXF000160;possible_higher_order_or_partial:TXF000056-TXF000203;possible_higher_order_or_partial:TXF000056-TXF000223;possible_higher_order_or_partial:TXF000056-TXF000224;possible_higher_order_or_partial:TXF000056-TXF000237;possible_higher_order_or_partial:TXF000056-TXF000288;possible_higher_order_or_partial:TXF000056-TXF000311;possible_higher_order_or_partial:TXF000056-TXF000340;possible_higher_order_or_partial:TXF000056-TXF000346;possible_higher_order_or_partial:TXF000056-TXF000384;possible_higher_order_or_partial:TXF000056-TXF000385;possible_higher_order_or_partial:TXF000056-TXF000608;possible_higher_order_or_partial:TXF000056-TXF000619;possible_higher_order_or_partial:TXF000056-TXF000643;possible_higher_order_or_partial:TXF000056-TXF000763;possible_higher_order_or_partial:TXF000056-TXF000807
TXF000057	TXM000057	50	2c180d8380b47c3cb65f3265b2bd5930	0.6400	56	41104	0.8193	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000057-TXF000177;possible_higher_order_or_partial:TXF000057-TXF000897;possible_higher_order_or_partial:TXF000057-TXF000916
TXF000058	TXM000058	106	8c9613df8256b513fbd8310186bc986b	0.2830	56	22893	0.9330	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000058-TXF000137
TXF000059	TXM000059	87	5613a4f00e4a9dd89e0f1cf004f098dc	0.7126	55	26572	0.8213	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000007-TXF000059;possible_higher_order_or_partial:TXF000059-TXF000083;possible_higher_order_or_partial:TXF000059-TXF000186;likely_redundant:TXF000059-TXF000508;possible_higher_order_or_partial:TXF000059-TXF000724;possible_higher_order_or_partial:TXF000059-TXF000738;possible_higher_order_or_partial:TXF000059-TXF000743
TXF000060	TXM000060	69	a729bab22e7d3f52d5dea2f1433f437e	0.6522	55	13885	0.8554	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000060-TXF000369
TXF000061	TXM000061	59	ad64e2a8789cb8fef7ffe787b128c5e9	0.2712	55	9298	0.8221	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000061-TXF000161;possible_higher_order_or_partial:TXF000061-TXF000343;possible_higher_order_or_partial:TXF000061-TXF000380;possible_higher_order_or_partial:TXF000061-TXF000536;possible_higher_order_or_partial:TXF000061-TXF000635;possible_higher_order_or_partial:TXF000061-TXF001071
TXF000062	TXM000062	33	0f41e38e26cef4ec2a284fa9afbc3048	0.6061	55	5551	0.8542	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000028-TXF000062
