read_id	length_bp	gc_bin_5pct	max_purine_pyrimidine_bin_5pct	any_alignment_span_bp	primary_span_bp	primary_mapq20_span_bp	primary_rows	secondary_rows	organelle_primary_rows
ERR6210723.373005	19718	6	10	19718	19718	19718	1	0	0
ERR6210723.373387	20387	7	10	20385	20385	20385	1	0	0
ERR6210723.376725	15643	7	10	15643	15643	15643	1	0	0
ERR6210723.376819	16078	8	10	16078	16078	16078	1	0	0
ERR6210723.377533	15436	10	10	15435	15435	15435	1	5	0
ERR6210723.377534	13944	7	10	13944	13944	13944	1	0	0
ERR6210723.379210	16223	8	10	16223	16223	16223	1	0	0
ERR6210723.37953	16243	5	10	16243	16243	16243	1	0	0
ERR6210723.381065	14399	7	10	14399	14399	14399	1	0	0
ERR6210723.381114	15880	6	10	15880	15880	15880	1	0	0
ERR6210723.384156	16564	7	10	16564	16564	16564	1	0	0
ERR6210723.385948	15386	6	10	15386	15386	15386	1	0	0
ERR6210723.386853	14930	6	10	14930	14930	14930	1	0	1
ERR6210723.388768	14784	7	10	14784	14784	14784	1	0	0
ERR6210723.389321	13951	7	10	13951	13951	13951	1	0	0
ERR6210723.389355	15033	6	10	15033	15033	15033	1	0	0
ERR6210723.38954	14407	7	10	14402	14402	14402	1	0	0
ERR6210723.389757	13685	7	10	13685	13685	13685	1	0	0
ERR6210723.391147	19465	5	10	19465	19465	19465	1	0	1
ERR6210723.39206	14102	8	10	14098	14098	14098	1	0	1
ERR6210723.393302	14376	6	10	14376	14376	14376	1	0	0
ERR6210723.396037	15453	7	10	15453	15453	0	1	1	1
ERR6210723.396192	14818	6	10	14818	14818	14818	1	0	0
ERR6210723.397503	14539	6	10	14539	14539	14539	1	0	0
ERR6210723.397814	15883	7	10	15883	15883	15883	1	0	0
ERR6210723.399495	14695	7	11	14695	14695	14695	1	0	0
ERR6210723.400315	15771	7	10	15760	15760	15760	1	0	0
ERR6210723.401129	15197	6	10	15197	15197	15197	1	0	0
ERR6210723.401989	13882	7	10	13882	13882	13882	1	0	0
ERR6210723.40302	15194	6	10	15194	15194	15194	1	0	0
ERR6210723.403503	16391	7	10	16391	16391	16391	1	0	0
ERR6210723.404142	15071	7	10	15071	15071	15071	1	0	1
ERR6210723.404394	14376	5	10	14376	14376	14376	1	0	0
ERR6210723.404581	17788	6	10	17788	17788	17788	1	0	0
ERR6210723.404964	16782	6	10	16782	16782	12761	2	1	2
ERR6210723.405708	14366	6	10	14366	14366	14366	1	0	0
ERR6210723.407405	11350	6	10	11350	11350	11350	1	0	0
ERR6210723.411425	15301	7	10	15301	15301	15301	1	0	1
ERR6210723.41397	14649	7	10	14649	14649	14649	1	0	0
ERR6210723.416873	16222	7	10	16222	16222	16222	1	0	0
ERR6210723.41701	16563	6	10	16563	16563	16563	1	0	0
ERR6210723.419590	17664	8	10	17664	17664	0	1	1	0
ERR6210723.420061	14474	6	10	14472	14472	14472	1	0	1
ERR6210723.420612	16293	9	10	16293	16293	0	1	1	1
ERR6210723.420940	16850	7	10	16850	16850	16850	1	0	0
ERR6210723.421171	14300	6	11	14300	14300	14300	1	0	0
ERR6210723.422533	14460	6	10	14460	14460	14460	1	0	0
ERR6210723.425636	18482	7	10	18482	18482	18482	1	0	1
ERR6210723.428795	15928	6	10	15928	15928	15928	1	0	1
ERR6210723.428892	7597	6	10	7597	7597	7597	1	0	1
ERR6210723.429976	16532	7	10	16532	16532	16532	1	0	0
ERR6210723.431455	15690	7	10	15682	15682	15682	1	0	0
ERR6210723.435969	14441	7	10	14441	14441	14441	1	0	0
ERR6210723.436222	16767	6	10	16767	16767	16767	1	0	0
ERR6210723.44204	14311	7	10	14308	14308	14308	1	0	0
ERR6210723.443303	17108	7	10	17108	17108	17108	1	0	0
ERR6210723.443840	16900	7	10	16891	16891	16891	1	0	0
ERR6210723.445765	16628	7	10	16628	16628	16628	1	0	1
ERR6210723.446406	15763	7	10	15763	15763	0	1	1	1
ERR6210723.446726	16865	7	10	16865	16865	16865	1	0	0
ERR6210723.447529	14365	6	10	14362	14362	14362	1	0	0
ERR6210723.447781	14788	7	11	14788	14788	0	1	0	0
ERR6210723.447823	16379	6	10	16379	16379	16379	1	0	0
ERR6210723.448589	15276	6	10	0	0	0	0	0	0
ERR6210723.448786	16992	6	10	16992	16992	16992	1	0	1
ERR6210723.451202	16411	7	10	16411	16411	16411	1	0	0
ERR6210723.453746	16816	7	11	16816	16779	0	1	1	0
ERR6210723.453933	17872	8	10	17872	17872	17872	1	1	1
ERR6210723.454424	15714	6	10	15709	15709	15709	1	0	1
ERR6210723.455093	16678	6	10	16678	16678	16678	1	0	0
ERR6210723.456783	16559	6	10	16559	16559	16559	1	0	0
ERR6210723.460361	16385	7	10	16385	16385	16385	1	0	0
ERR6210723.461418	16383	7	10	16383	16383	16383	1	0	0
ERR6210723.461934	15881	7	10	15881	15881	15881	1	0	0
ERR6210723.464166	15604	7	10	15585	15585	15585	1	0	1
ERR6210723.464741	16319	7	10	16319	16319	16319	1	0	0
ERR6210723.465584	16185	7	10	16185	16185	16185	1	0	0
ERR6210723.466102	19133	7	10	19133	19133	19133	1	0	0
ERR6210723.46629	14938	8	10	14814	14814	14814	1	0	0
ERR6210723.466370	15137	10	10	15136	15136	0	1	5	0
ERR6210723.468455	17176	6	10	17176	17176	17176	1	0	1
ERR6210723.470288	14354	6	10	14354	14354	14354	1	0	0
ERR6210723.470513	16949	7	10	16949	16949	6097	2	1	2
ERR6210723.471595	17054	6	10	17054	17054	17054	1	0	0
ERR6210723.472289	16146	8	10	16146	16146	7672	2	2	0
ERR6210723.472773	15796	7	10	15796	15796	15796	1	0	0
ERR6210723.472980	15190	6	10	15190	15190	15190	1	0	0
ERR6210723.473832	14948	7	10	14943	14943	14943	1	0	0
ERR6210723.475704	15212	6	10	15212	15212	15212	1	0	0
ERR6210723.475802	17952	6	10	17949	17949	17949	1	0	1
ERR6210723.478181	16037	7	10	16036	16036	16036	1	0	1
ERR6210723.47859	13995	8	10	13995	13995	13995	1	0	0
ERR6210723.478603	19482	7	10	19482	19482	19482	1	0	0
ERR6210723.478765	15398	7	10	15398	15398	15398	1	0	0
ERR6210723.478929	16312	6	10	16312	16312	16312	1	0	0
ERR6210723.479049	15507	7	10	15507	15507	15507	1	0	0
ERR6210723.480061	13754	6	10	13749	13749	13749	1	0	0
ERR6210723.480129	14941	7	10	14941	14941	14941	1	0	0
ERR6210723.480208	15261	6	10	15261	15261	15261	1	0	0
ERR6210723.481335	15278	7	10	15278	15278	15278	1	0	0
ERR6210723.481346	14695	5	10	14695	14695	14695	1	0	1
ERR6210723.483503	14648	6	10	14648	14648	14648	1	0	1
ERR6210723.484	16115	6	10	16114	16114	16114	1	0	0
ERR6210723.484329	14827	7	10	14814	14814	14814	1	0	0
ERR6210723.484527	17412	6	10	17412	17412	17412	1	0	0
ERR6210723.484799	14284	7	11	14284	14284	14284	1	0	0
ERR6210723.485327	14627	6	10	14627	14627	14627	1	0	0
ERR6210723.485512	14088	7	10	14088	14088	14088	1	0	0
ERR6210723.485995	15220	7	10	15220	15220	15220	1	0	0
ERR6210723.486762	18718	7	10	18718	18718	18718	1	0	0
ERR6210723.488846	15197	8	10	15197	15197	15197	1	0	0
ERR6210723.48904	16722	6	10	16722	16722	16722	1	0	0
ERR6210723.489105	15864	7	10	15857	15857	15857	1	0	1
ERR6210723.491352	8681	7	10	8681	8681	8681	1	0	0
ERR6210723.49233	14812	5	10	14810	14810	14810	1	0	0
ERR6210723.492359	17538	7	10	17538	17538	17538	1	0	0
ERR6210723.492591	16049	7	10	16049	16049	16049	1	0	0
ERR6210723.493352	15610	7	10	15610	15610	15610	1	0	0
ERR6210723.493822	16151	7	10	16143	16143	16143	1	0	0
ERR6210723.494710	15132	7	10	15132	15132	15132	1	0	0
ERR6210723.494808	16637	7	10	16637	16637	16637	1	0	0
ERR6210723.494913	14692	7	10	14672	14672	14672	1	0	1
ERR6210723.495192	15541	6	10	15540	15540	15540	1	0	1
ERR6210723.495683	16651	6	10	16651	16651	16651	1	0	0
ERR6210723.496341	9169	7	10	9169	9169	9169	1	0	0
ERR6210723.49740	15082	7	10	15082	15082	1540	2	1	2
ERR6210723.497469	18810	6	10	18810	18810	18810	1	0	0
ERR6210723.498251	15829	6	10	15829	15829	15829	1	0	1
ERR6210723.499784	16581	7	10	16581	16581	16581	1	0	1
ERR6210723.500742	14883	6	10	14883	14883	14883	1	0	0
ERR6210723.500842	15397	7	10	15397	15397	15397	1	0	0
ERR6210723.501520	16322	7	10	16322	16322	16322	1	0	0
ERR6210723.501573	15752	7	10	15752	15752	15752	1	0	0
ERR6210723.502014	14325	7	10	14325	14325	14325	1	0	1
ERR6210723.503318	16321	7	10	16321	16321	16321	1	0	0
ERR6210723.504627	16775	7	10	16773	16773	16773	1	0	0
ERR6210723.506055	19161	7	10	19160	19160	19160	1	0	1
ERR6210723.506644	15234	7	10	15234	15234	15234	1	1	1
ERR6210723.509426	15269	6	10	15269	15269	15269	1	0	0
ERR6210723.510243	15100	7	10	15099	15099	15099	1	0	0
ERR6210723.511042	15145	6	10	15144	15144	15144	1	0	0
ERR6210723.512308	18105	6	10	18105	18105	18105	1	0	1
ERR6210723.514834	15934	6	10	15934	15934	15934	1	0	0
ERR6210723.515652	19101	6	10	19097	19097	19097	1	0	0
ERR6210723.515709	14940	7	10	14940	14940	14940	1	0	0
ERR6210723.51582	14061	7	11	14061	14061	14061	1	0	0
ERR6210723.51587	20431	7	10	20372	20372	20372	1	0	0
ERR6210723.517663	15079	7	10	15079	15079	15079	1	0	1
ERR6210723.517939	16735	7	10	16727	16727	16727	1	0	0
ERR6210723.518343	21056	7	10	21056	21056	21056	1	0	1
ERR6210723.519811	14859	7	10	14859	14859	14859	1	0	0
ERR6210723.520081	17780	6	10	17780	17780	17780	1	0	1
ERR6210723.522773	17411	7	10	17411	17411	17411	1	0	0
ERR6210723.523715	15190	6	10	15187	15187	15187	1	0	1
ERR6210723.524970	14548	6	10	14548	14548	14548	1	0	1
ERR6210723.526509	18901	6	10	18901	18901	18901	1	0	1
ERR6210723.526649	16254	7	10	16254	16254	16254	1	0	0
ERR6210723.527952	14844	6	10	14844	14844	14844	1	0	1
ERR6210723.52874	12046	7	10	12046	12046	12046	1	0	0
ERR6210723.529691	15480	7	10	15479	15479	15479	1	0	0
ERR6210723.532085	17013	6	10	17011	17011	17011	1	0	0
ERR6210723.533419	15181	7	10	15181	15181	15181	1	0	0
ERR6210723.534518	14675	9	10	14675	14675	0	1	1	1
ERR6210723.535694	14233	8	10	14233	14233	14233	1	0	1
ERR6210723.537222	16249	7	10	16249	16249	16249	1	0	0
ERR6210723.537708	15619	7	10	15619	15619	15619	1	0	1
ERR6210723.538797	14614	7	10	14614	14614	14614	1	0	0
ERR6210723.539755	14870	6	10	14869	14869	14869	1	0	0
ERR6210723.539922	15261	7	10	15257	15257	15257	1	0	1
ERR6210723.541207	14586	7	10	14586	14586	14586	1	0	0
ERR6210723.542368	16874	7	11	16874	16874	16874	1	0	0
ERR6210723.542991	15465	6	10	15465	15465	15465	1	0	0
ERR6210723.546286	14409	7	10	14409	14409	14409	1	0	1
ERR6210723.546935	15311	6	10	15311	15311	15311	1	0	0
ERR6210723.547349	15083	8	10	15083	15083	15083	1	0	0
ERR6210723.550393	15269	7	10	15266	15266	15266	1	0	0
ERR6210723.550526	16102	7	11	16102	16102	16102	1	0	0
ERR6210723.552709	16556	6	10	16551	16551	16551	1	0	1
ERR6210723.553034	15100	6	10	15100	15100	15100	1	0	0
ERR6210723.553136	13833	8	10	13833	13833	13833	1	1	0
ERR6210723.553465	17590	6	10	17590	17590	17590	1	0	0
ERR6210723.553539	14948	7	11	14948	14948	14948	1	0	0
ERR6210723.553612	14823	7	10	14823	14823	14823	1	0	0
ERR6210723.554661	14166	7	10	14164	14164	14164	1	0	1
ERR6210723.558076	15181	6	10	15181	15181	15181	1	0	0
ERR6210723.561228	16033	6	10	16028	16028	16028	1	0	1
ERR6210723.561732	14643	7	10	14643	14643	14643	1	0	0
ERR6210723.563570	18005	7	10	18005	18005	18005	1	0	0
ERR6210723.563902	17371	7	11	17371	17371	17371	1	0	0
ERR6210723.565893	16439	7	10	16439	16439	16439	1	0	0
ERR6210723.567247	15012	6	10	15012	15012	15012	1	0	1
ERR6210723.567445	15923	7	10	15920	15920	15920	1	0	0
ERR6210723.567669	14195	7	10	14195	14195	14195	1	0	0
ERR6210723.567885	14564	6	10	14564	14564	14564	1	0	0
ERR6210723.567953	15573	5	10	15573	15573	15573	1	0	1
ERR6210723.569149	18049	7	10	18049	18049	18049	1	0	0
ERR6210723.571140	15393	7	10	15393	15393	15393	1	0	0
ERR6210723.571475	7770	6	10	7770	7770	7770	1	0	0
ERR6210723.572772	17332	7	10	17332	17332	17332	1	0	0
ERR6210723.573167	14094	7	10	14094	14094	14094	1	0	0
ERR6210723.574055	14765	7	11	14765	14765	14765	1	0	0
ERR6210723.574756	15272	7	10	15272	15272	15272	1	0	0
ERR6210723.57533	17671	7	10	17668	17668	17668	1	0	0
