family_id	old_assembly_bp	new_assembly_bp	old_new_ratio	reference_state_binary	any_alignment_bp	any_alignment_fraction	primary_alignment_bp	primary_alignment_fraction	same_chromosome_primary_alignment_bp	same_chromosome_primary_alignment_fraction	same_chromosome_primary_mapq20_alignment_bp	same_chromosome_primary_mapq20_alignment_fraction
TXF000695	4073	20424	0.19942224833529182	reference_collapse	3101	0.15183117900509205	3101	0.15183117900509205	0	0.0	0	0.0
TXF000704	15553	16188	0.9607734124042501	other_reference_state	14860	0.9179639238942426	14860	0.9179639238942426	0	0.0	0	0.0
TXF000719	197814	234096	0.8450123026450687	other_reference_state	184612	0.788616635910054	183772	0.7850283644316861	0	0.0	0	0.0
TXF000723	32299	31737	1.017708037936793	other_reference_state	30447	0.959353436052557	30280	0.9540914390143996	0	0.0	0	0.0
TXF000739	15609	16533	0.9441117764471058	other_reference_state	13540	0.8189681243573459	13517	0.8175769672775661	0	0.0	0	0.0
TXF000766	47446	47582	0.9971417763019629	other_reference_state	44732	0.9401034004455466	44687	0.9391576646631079	0	0.0	0	0.0
TXF000870	35325	38390	0.9201615003907267	other_reference_state	34017	0.8860901276374056	34017	0.8860901276374056	0	0.0	0	0.0
TXF000888	59637	56030	1.0643762270212387	other_reference_state	50051	0.8932893092985901	50034	0.8929859004104944	0	0.0	0	0.0
TXF000890	37500	37088	1.0111087144089732	other_reference_state	26902	0.7253559102674719	26902	0.7253559102674719	0	0.0	0	0.0
TXF000894	431729	442859	0.9748678473283822	other_reference_state	400676	0.9047484639580544	400291	0.903879112765011	0	0.0	0	0.0
TXF000905	19493	21211	0.9190042902267691	other_reference_state	17040	0.8033567488567253	17040	0.8033567488567253	0	0.0	0	0.0
TXF000910	18535	16113	1.1503134115310618	other_reference_state	15652	0.9713895612238566	15652	0.9713895612238566	0	0.0	0	0.0
TXF000932	18817	24798	0.7588111944511654	other_reference_state	17155	0.6917896604564884	17149	0.6915477054601178	0	0.0	0	0.0
TXF000935	33266	31004	1.0729583279576829	other_reference_state	29404	0.948393755644433	29404	0.948393755644433	0	0.0	0	0.0
TXF000940	16399	15617	1.0500736377025037	other_reference_state	15132	0.968944099378882	15132	0.968944099378882	0	0.0	0	0.0
TXF000942	27022	26328	1.0263597690671529	other_reference_state	25590	0.9719690063810392	25590	0.9719690063810392	0	0.0	0	0.0
TXF000969	62065	60254	1.0300560958608558	other_reference_state	58733	0.9747568626149301	58733	0.9747568626149301	0	0.0	0	0.0
TXF001113	36310	35558	1.0211485460374599	other_reference_state	33393	0.9391135609426852	33393	0.9391135609426852	0	0.0	0	0.0
TXF001121	19645	27092	0.72512180717555	other_reference_state	21154	0.7808209065406763	21008	0.7754318618042226	0	0.0	0	0.0
